"hypothesis_id","priority_rank","setup_type","consensus_status","qualitative_claim","bullish_rule","bearish_rule","required_data","feature_columns_needed","candidate_thresholds","confirmation_rule","invalidation_rule","expected_edge","backtest_priority_1_to_5","implementation_difficulty_1_to_5","evidence_strength_1_to_5","source_support","notes"
"F01","1","edge_exhaustion_at_location","Claude+Codex consensus","Low volume at a meaningful extreme marks exhausted aggressors only when location is clean.","At LOD/swing low/support/value edge, low edge volume at bar low; long after closed-bar confirmation and trigger.","At HOD/swing high/resistance/value edge, low edge volume at bar high; short after closed-bar confirmation and trigger.","OHLCV; volumetric footprint; session/swing/value levels","edge_volume_low; edge_volume_high; edge_volume_percentile; edge_level_type; swing_extreme_rank; session_extreme_flag; state","Instrument/timeframe scaled ExpVol; test dynamic percentile and examples: ES around 0, NQ around 3, 10yr around 50; do not globalize 10.","Closed bar plus next-bar trigger or timeframe-appropriate confirmation.","Signal extreme breached/accepted; no response by freshness window.","High if edge is clean and stop is tight.","5","3","5","Both; Claude full corpus refines thresholds","First backtest. Codex structure retained; Claude threshold scaling wins."
"F02","2","absorption_to_exhaustion","Claude+Codex consensus","The flagship A+ is absorbed aggression followed by exhaustion at the edge.","Sellers absorbed near low, hidden flip or negative delta green/off-low, then exhaustion/rejection; long.","Buyers absorbed near high, hidden flip or positive delta red/off-high, then exhaustion/rejection; short.","OHLCV; footprint; bar delta; MaxSeenDelta; MinSeenDelta; levels","absorption_score; effort_result_score; DeltaGiveBackPct; exhaustion_flag; edge_level_type; next_bar_trigger","No hard absorption threshold; use soft score. Exhaustion threshold scaled by instrument.","Bar close and price moves away from absorbed/exhaustion zone.","Price accepts through absorbed zone; fresh initiative expands through edge.","Very high; tight stop plus confluence.","5","4","5","Both; Claude adds hidden flip","Do not require absorption before every exhaustion signal; compare pure exhaustion vs absorption overlay."
"F03","3","intrabar_hidden_delta_flip","Claude strong; Codex absent/underweighted","Close delta can mislead; Max/Min delta give-back reveals hidden absorption/exhaustion.","At low, large negative MinSeenDelta gives back toward zero/positive close delta; long after price holds/lifts.","At high, large positive MaxSeenDelta gives back toward zero/negative close delta; short after rejection.","OHLCV; bid/ask delta path; MaxSeenDelta; MinSeenDelta; BarDelta","MaxSeenDelta; MinSeenDelta; BarDelta; DeltaGiveBackPct; close_location_value; edge_level_type","Keep give-back percentage soft; examples 80-96% are not production thresholds.","Closed bar finalizes Max/Min; trigger requires level and price response.","Delta re-accelerates in original direction; price accepts through edge.","High; likely core improvement over close-delta-only logic.","5","3","5","Claude full corpus 15+ chunks","Promote to first-build if Max/Min delta is available."
"F04","4","follow_through_timeframe_conditional","Claude+Codex with correction","Follow-through is a load-bearing quality filter, but only on appropriate chart speeds.","For fast charts, long signal should trade above signal/trigger within 1-2 bars.","For fast charts, short signal should trade below signal/trigger within 1-2 bars.","OHLCV; bar type/timeframe; signal state","timeframe_gate_applied; next_bar_trigger; bars_to_confirm; mfe_1bar_ticks; mfe_3bar_ticks","Test 1-2 ticks and 1-2 bars; disable/relax on >=5-min and slow instruments.","Fast-chart next 1-2 bars; slow-chart order-flow confirmation instead.","No follow-through; opposite signal; acceptance through edge.","Cuts low-quality signals; expected cull 25-45% descriptive, not target.","5","2","5","Both; Claude refines conditionality","Do not force follow-through on >=5-min charts."
"F05","5","absorption_effort_vs_result","Claude+Codex consensus","Aggressive effort without price result is absorption/failure.","High sell effort at support/low with poor downside progress and off-low/green close; long.","High buy effort at resistance/high with poor upside progress and off-high/red close; short.","OHLCV; delta; footprint; levels","delta_percentile; price_delta_efficiency; close_location_value; bid_ask_at_extreme; level_proximity_ticks","Use normalized delta/volume percentiles; no absolute global delta.","Price rotates away or retest fails.","Aggressive side finally gets continuation.","Strong but measurement is inferred without DOM.","5","4","5","Both","Keep graded. Do not create absorption boolean from one candle."
"F06","6","positive_delta_trap_at_high","Claude+Codex consensus","Strong positive delta at highs is bearish when buyers fail to continue.","Mirror only if strong negative delta fails at low.","At HOD/swing high/resistance, positive delta high percentile but no upside progress; short on rejection/loss of signal low.","OHLCV; delta; footprint; levels","positive_delta_percentile; continuation_mfe_ticks; close_location_value; edge_level_type; next_bar_delta","Percentile threshold 80/90 for tests; never delta sign alone.","No continuation plus rejection/negative response.","Price accepts higher and delta remains strong.","High at clean resistance; bad in open trend continuation.","5","3","5","Both; Claude strengthens context branch","Pair with sequencing suppressor."
"F07","7","negative_delta_absorption_at_low","Claude+Codex consensus","Strong negative delta at lows is bullish only if sellers are absorbed.","At LOD/swing low/support, negative delta high percentile but price holds/off-low or green; long.","Mirror handled by F06.","OHLCV; delta; footprint; levels","negative_delta_percentile; close_location_value; effort_result_score; bid_ask_at_extreme; edge_level_type","Percentile/z-score normalized by instrument/session.","Closed bar holds low, next bar lifts or reclaim fires.","Price accepts lower and selling continues.","High with clean support and hidden flip.","5","3","5","Both","Add bid/offer disambiguation at the extreme if available."
"F08","8","failed_acceptance_reclaim","Claude+Codex consensus","Breakouts/sweeps reverse when price cannot accept outside the level.","Break below support/LOD/value then close/reclaim back above; long.","Break above resistance/HOD/value then close/reject back below; short.","OHLCV; levels; footprint optional","broken_level_type; break_distance_ticks; bars_outside_level; reclaim_flag; reclaim_speed; post_reclaim_mfe","Reclaim 1-3 bars is a fast-chart start; relax by timeframe.","Close back inside plus next-bar hold/move away.","Retest outside holds; trend accepts beyond level.","Strong if level is obvious.","4","2","4","Both","More testable than trapped/stop-run naming."
"F09","9","multiple_imbalance_failure","Claude strong; Codex partial","Multiple imbalances can fire earlier and rank equal/above stacked; failure at edge is reversal evidence.","Sell multiple/stack into low fails and zone is reclaimed; long.","Buy multiple/stack into high fails and zone is lost; short.","Footprint bid/ask; imbalance engine; OHLC; levels","multiple_imbalance_count; stack_count; imbalance_direction; cell_volume_min; imbalance_zone_reclaim","3+ generally, 2 on fast charts; test ratio/min-volume grids.","No continuation and reclaim/loss of imbalance zone.","Continuation in imbalance direction; opposite ratio/signal can void.","Medium-high but context-sensitive.","4","3","5","Claude full corpus; Codex supports imbalance failure","Do not weight position-in-bar. Downgrade low cell-volume stacks."
"F10","10","intrabar_delta_context_branch","Claude strong; Codex partial","Delta polarity must be interpreted by location and bid/offer volume at the extreme.","At low, positive delta is not automatically bullish; require bid-side absorption/holding or hidden flip.","At high, negative delta is not automatically bearish; require offer-side absorption/rejection or hidden flip.","Footprint per-level bid/ask; bar delta; Max/Min delta; levels","DeltaSignContext; BidAskAtExtreme; BarDelta; MaxSeenDelta; MinSeenDelta; edge_level_type","No fixed threshold; branch logic before scoring.","Context branch agrees with price response.","Wrong-side bid/offer dominance signals continuation, suppressing reversal.","Reduces polarity mistakes.","4","3","5","Claude full corpus","Critical if per-level bid/ask at extreme is available."
"F11","11","sequencing_suppressor","Claude strong; Codex absent","Escalating volume eaten through successive levels is continuation, not reversal.","Suppress longs against downside sequencing unless failed acceptance appears.","Suppress shorts against upside sequencing unless failed acceptance appears.","Footprint volume by price; OHLC; delta optional","sequencing_flag; sequencing_direction; trend_acceptance_flag; flow_driven_flag","No hard count yet; test consecutive levels/bars and volume progression.","Suppress/cap countertrend signal rather than create reversal entry.","Sequencing continues through level.","False-positive reduction, not standalone edge.","4","3","4","Claude full corpus","Add after baseline signals so filter impact is measurable."
"F12","12","ratio_divergence_binary","Claude strong; Codex weak/absent","Ratio is a binary/two-tier soft flag, not stronger because magnitude is larger.","Bullish ratio/divergence at low supports long only with location and confirmation.","Bearish ratio/divergence at high supports short only with location and confirmation.","Footprint ratio formula; levels; OHLC","RatioValue; RatioFlag; RatioTier; ratio_direction; edge_level_type","High watch 28/preferred 30; low around 0.69/0.7699; formula undisclosed; platform-calibrated.","Ratio flag plus price confirmation.","Opposite next-bar ratio can void thesis.","Useful but formula risk high.","4","4","5","Claude full corpus","Do not implement until formula is reproduced/validated."
"F13","13","zero_delta_noise_filter","Claude strong; Codex absent","Zero or near-zero delta is noise, not a reversal signal.","Do not use near-zero delta as bullish evidence.","Do not use near-zero delta as bearish evidence.","Bar delta; instrument neutral band","BarDelta; NeutralBand; zero_delta_noise_flag","Neutral bands are instrument/session scaled: examples +/-25 FX, +/-150 heavy ES.","Suppress or neutralize delta-only modules.","None; filter only.","Reduces fake delta reads.","3","1","4","Claude full corpus","Easy filter; do not over-broaden neutral band."
"F14","14","big_bar_risk_filter","Claude+Codex consensus","Oversized signal bars damage stop feasibility and A+ quality.","Cap/downscore long if signal range or stop is too large.","Cap/downscore short if signal range or stop is too large.","OHLC; entry/stop references","signal_bar_range_ticks; signal_range_percentile; stop_distance_ticks; reward_room_ticks","Test range percentile 75/85 and instrument max stop ticks.","Signal can still exist but grade capped.","Stop too wide, R too poor.","Risk-quality improvement.","4","1","4","Both","Keep as cap, not signal."
"F15","15","poc_value_abandonment","Claude strong; Codex partial","POC/value areas not retraded next bar or abandoned can act as high-confidence context.","Bullish when lower value/POC fails to attract trade and price lifts from support context.","Bearish when upper value/POC fails to attract trade and price rejects from resistance context.","Footprint/volume profile; POC; value area; OHLC","POCPrice; ValueAreaHigh; ValueAreaLow; abandoned_va_flag; poc_untested_next_bar","Binary next-bar intersection is cleaner than subjective POC prominence.","Next bar fails to retrade VA/POC and price moves away.","Price trades back into and accepts value/POC.","Context module with strong potential.","4","4","4","Claude full corpus; Codex noted POC/value context","Build after core footprint signal."
"F16","16","back_to_back_poc_magnet","Claude once-rich","2+ consecutive same-price POCs create magnet/support/resistance; trade return after price leaves.","After price leaves B2B POC, return to level rejects upward; long.","After price leaves B2B POC, return to level rejects downward; short.","Per-bar POC; OHLC; levels","back_to_back_poc_flag; b2b_poc_price; return_to_poc_flag; rejection_close","2+ exact consecutive POC prices; stop a few ticks beyond; validate by market.","Trade return/rejection, not while price sits at level.","Level fails and price accepts through.","Potentially useful but less confirmed.","3","3","3","Claude full corpus once-rich","Optional later module."
"F17","17","orderflow_freshness_time_stop","Claude+Codex conflict resolved","Order-flow signals decay; timeout must scale by chart speed.","Long signal downgraded/exited if no appropriate MFE before freshness window.","Short signal downgraded/exited if no appropriate MFE before freshness window.","OHLC; time; bar type; signal state","minutes_since_signal; bars_since_signal; mfe_timeout_ticks; timeframe_gate_applied; freshness_mins_left","Fast charts 5-10 min; slow charts/instruments 30-60 min; not global.","Early response appropriate to timeframe.","No response, opposite signal, or stale order-flow info.","Improves management, not entry.","4","2","5","Both, but Claude corrects 10-min overfit","Separate entry edge from management edge."
"F18","18","composite_a_plus_score","Claude+Codex consensus","A+ is confluence with hard caps, not sum of random plots.","Long score >= threshold with location, failure, confirmation, risk, and no caps.","Short score >= threshold with location, failure, confirmation, risk, and no caps.","All enabled module data","location_score; failure_score; confirmation_score; risk_score; timing_score; hard_cap_reason","A+ around 82 research start; must validate out-of-sample.","Confirmed/triggered state and no hard caps.","Any hard cap; acceptance; stale/no response.","Best implementation wrapper.","5","3","5","Both","Do not let score hide weak submodules; export components."
"F19","19","flow_driven_divergence_inversion","Claude strong","Repeated failed divergences/flow-driven regime should be followed or suppress fades.","If repeated bearish divergences fail and price breaks higher, suppress shorts or allow breakout logic.","If repeated bullish divergences fail and price breaks lower, suppress longs or allow breakdown logic.","OHLC; cumulative delta; divergence history; levels","failed_divergence_count; flow_driven_flag; breakout_direction; sequencing_flag","Count/window not fixed; test 2-3 failures in 30-60 min.","Breakout acceptance after failed divergences.","Divergence finally works; breakout fails.","False-fade reduction.","3","3","4","Claude full corpus","Filter first; entry later if proven."
"F20","20","volume_in_value_stratum","Claude once/optional","Volume distribution inside value is orthogonal confirmation, not delta.","Bullish only if volume-in-value skew supports long and core setup exists.","Bearish only if volume-in-value skew supports short and core setup exists.","Footprint volume distribution; value area","VolInValueSkew; ValueAreaHigh; ValueAreaLow; core_signal_id","No hard threshold; optional score +0.5 style confirmation.","Only after core signal confirms.","Core signal invalidates; Stratum alone ignored.","Weak standalone; possible lift.","2","4","3","Claude full corpus once","Do not mechanically stack."
"F21","21","second_chance_reentry","Both weak/moderate","One stop-out does not always invalidate if order-flow thesis remains intact.","After long stop-out, permit one re-entry only after reclaim and unchanged thesis.","After short stop-out, permit one re-entry only after rejection and unchanged thesis.","OHLC; signal state; footprint; delta","prior_signal_id; stopped_out_flag; thesis_valid_score; reentry_count; reclaim_reject_flag","Cap one re-entry; no default threshold.","Fresh confirmation after stop-out.","Fresh continuation invalidates thesis.","Uncertain; can improve clipped trades or encode revenge.","2","4","3","Both","Defer until base entries are validated."
"F22","22","candle_color_toggle","Claude strong; Codex partial","Candle color agreement helps but should be a toggle/manual overlay, not universal rule.","Green/off-low improves long but is not mandatory if hidden flip/absorption is strong.","Red/off-high improves short but is not mandatory if hidden flip/absorption is strong.","OHLC; delta; signal module","candle_color_agreement; close_location_value; CandleColorFilterEnabled","Default ON for fast charts, toggle off/soft for other contexts.","Use as score/cap, not hard universal gate.","Wrong color plus no other confirmation weakens trade.","Moderate filter; avoid overblocking.","3","1","4","Claude full corpus","Good visual filter, not primary edge."
